InvoiceDate,Daily Sales
2010-12-01,4549586.93
2010-12-02,1720301.59
2010-12-03,5751264.25
2010-12-04,5751264.25
2010-12-05,3501206.43
2010-12-06,3459187.0
2010-12-07,2832914.11
2010-12-08,5047861.86
2010-12-09,3453899.29
2010-12-10,3693618.09
2010-12-11,3693618.09
2010-12-12,2419724.38
2010-12-13,3368582.34
2010-12-14,2865128.89
2010-12-15,4028914.71
2010-12-16,6865418.31
2010-12-17,3536693.18
2010-12-18,3536693.18
2010-12-19,588511.2
2010-12-20,7944720.07
2010-12-21,335488.08999999997
2010-12-22,590234.17
2010-12-23,1066778.33
2010-12-24,1066778.33
2010-12-25,1066778.33
2010-12-26,1066778.33
2010-12-27,1066778.33
2010-12-28,1066778.33
2010-12-29,1066778.33
2010-12-30,1066778.33
2010-12-31,1066778.33
2011-01-01,1066778.33
2011-01-02,1066778.33
2011-01-03,1066778.33
2011-01-04,2697338.46
2011-01-05,5461679.6
2011-01-06,10863506.82
2011-01-07,4318705.34
2011-01-08,4318705.34
2011-01-09,3222809.55
2011-01-10,1620023.6099999999
2011-01-11,4167435.25
2011-01-12,2626493.2
2011-01-13,2876132.05
2011-01-14,1425571.19
2011-01-15,1425571.19
2011-01-16,1577020.0999999999
2011-01-17,3587919.85
2011-01-18,16899962.73
2011-01-19,3613081.82
2011-01-20,1062197.85
2011-01-21,442359.11
2011-01-22,442359.11
2011-01-23,1107378.19
2011-01-24,1938595.08
2011-01-25,4986504.5
2011-01-26,2130064.8
2011-01-27,3155898.33
2011-01-28,1957280.22
2011-01-29,1957280.22
2011-01-30,440681.07
2011-01-31,7554492.16
2011-02-01,1865083.88
2011-02-02,3395678.57
2011-02-03,1852769.63
2011-02-04,3489016.31
2011-02-05,3489016.31
2011-02-06,110019.47
2011-02-07,1602779.63
2011-02-08,828874.84
2011-02-09,4022207.34
2011-02-10,658258.76
2011-02-11,1688543.3699999999
2011-02-12,1688543.3699999999
2011-02-13,32759.790000000005
2011-02-14,4538766.989999999
2011-02-15,6372729.88
2011-02-16,5434194.94
2011-02-17,3766602.22
2011-02-18,1517863.11
2011-02-19,1517863.11
2011-02-20,1107459.6199999999
2011-02-21,1607602.55
2011-02-22,4978492.1
2011-02-23,2359192.95
2011-02-24,1791362.91
2011-02-25,3782683.62
2011-02-26,3782683.62
2011-02-27,1078626.02
2011-02-28,2171925.61
2011-03-01,3661201.83
2011-03-02,1847109.78
2011-03-03,7356083.54
2011-03-04,3932695.73
2011-03-05,3932695.73
2011-03-06,189512.68
2011-03-07,1418976.39
2011-03-08,4532758.49
2011-03-09,1706748.75
2011-03-10,2110687.84
2011-03-11,2977230.48
2011-03-12,2977230.48
2011-03-13,724594.21
2011-03-14,2208599.85
2011-03-15,1826756.13
2011-03-16,3884365.48
2011-03-17,4203518.34
2011-03-18,1839001.1
2011-03-19,1839001.1
2011-03-20,2354268.33
2011-03-21,3323559.31
2011-03-22,6491474.87
2011-03-23,7661458.62
2011-03-24,4388880.4399999995
2011-03-25,3261371.62
2011-03-26,3261371.62
2011-03-27,1216668.05
2011-03-28,3524473.34
2011-03-29,440350.73
2011-03-30,7165156.41
2011-03-31,4917239.35
2011-04-01,5857425.5
2011-04-02,5857425.5
2011-04-03,415455.5
2011-04-04,2784547.31
2011-04-05,5363587.29
2011-04-06,1912426.52
2011-04-07,1828493.9
2011-04-08,5209787.26
2011-04-09,5209787.26
2011-04-10,948884.29
2011-04-11,3097250.15
2011-04-12,3519359.12
2011-04-13,4899456.0
2011-04-14,5646575.92
2011-04-15,1358968.09
2011-04-16,1358968.09
2011-04-17,3541148.95
2011-04-18,2425947.84
2011-04-19,3553351.42
2011-04-20,9958954.01
2011-04-21,2640333.97
2011-04-22,2640333.97
2011-04-23,2640333.97
2011-04-24,2640333.97
2011-04-25,2640333.97
2011-04-26,3791550.21
2011-04-27,3482063.67
2011-04-28,2049840.3599999999
2011-04-29,2049840.3599999999
2011-04-30,2049840.3599999999
2011-05-01,702491.81
2011-05-02,702491.81
2011-05-03,4346218.07
2011-05-04,2845512.13
2011-05-05,3873081.04
2011-05-06,6188940.49
2011-05-07,6188940.49
2011-05-08,2044370.83
2011-05-09,3374797.53
2011-05-10,1995494.74
2011-05-11,5028668.88
2011-05-12,6690529.55
2011-05-13,3297957.58
2011-05-14,3297957.58
2011-05-15,893182.85
2011-05-16,1965787.23
2011-05-17,9177129.6
2011-05-18,2475146.62
2011-05-19,3245201.19
2011-05-20,3257026.74
2011-05-21,3257026.74
2011-05-22,2910668.43
2011-05-23,8381772.55
2011-05-24,1730996.79
2011-05-25,3826415.6599999997
2011-05-26,1572816.67
2011-05-27,7857180.130000001
2011-05-28,7857180.130000001
2011-05-29,143007.77
2011-05-30,143007.77
2011-05-31,2200295.06
2011-06-01,1365391.56
2011-06-02,2003229.3
2011-06-03,2103098.66
2011-06-04,2103098.66
2011-06-05,3657770.27
2011-06-06,1230999.7
2011-06-07,2919986.63
2011-06-08,3446126.75
2011-06-09,6327867.33
2011-06-10,3424223.53
2011-06-11,3424223.53
2011-06-12,2002314.3599999999
2011-06-13,2190367.92
2011-06-14,933640.66
2011-06-15,11802519.49
2011-06-16,4422003.34
2011-06-17,2198280.94
2011-06-18,2198280.94
2011-06-19,2346700.53
2011-06-20,2293343.98
2011-06-21,3340220.82
2011-06-22,4238002.99
2011-06-23,1584378.13
2011-06-24,1687278.84
2011-06-25,1687278.84
2011-06-26,1039512.5700000001
2011-06-27,487185.26
2011-06-28,996138.78
2011-06-29,1084589.41
2011-06-30,2315256.7
2011-07-01,2201459.04
2011-07-02,2201459.04
2011-07-03,379049.91
2011-07-04,4734919.31
2011-07-05,6451055.39
2011-07-06,3996646.09
2011-07-07,4647142.67
2011-07-08,1727008.75
2011-07-09,1727008.75
2011-07-10,366204.82
2011-07-11,3194006.68
2011-07-12,2298546.31
2011-07-13,2594046.66
2011-07-14,2544922.36
2011-07-15,1353496.8699999999
2011-07-16,1353496.8699999999
2011-07-17,1706899.3
2011-07-18,2922900.59
2011-07-19,7971446.149999999
2011-07-20,1305177.57
2011-07-21,3912363.44
2011-07-22,1389735.74
2011-07-23,1389735.74
2011-07-24,3748650.62
2011-07-25,1437616.98
2011-07-26,1974420.03
2011-07-27,1881824.98
2011-07-28,4804183.91
2011-07-29,3466547.27
2011-07-30,3466547.27
2011-07-31,4890120.47
2011-08-01,2564084.96
2011-08-02,4321535.79
2011-08-03,2860064.97
2011-08-04,32360837.189999998
2011-08-05,2617915.22
2011-08-06,2617915.22
2011-08-07,420767.72000000003
2011-08-08,1072592.78
2011-08-09,1081764.42
2011-08-10,1155471.71
2011-08-11,12166777.12
2011-08-12,2044052.72
2011-08-13,2044052.72
2011-08-14,385269.39
2011-08-15,2214892.91
2011-08-16,1048429.88
2011-08-17,1890840.48
2011-08-18,16440694.6
2011-08-19,3916213.6799999997
2011-08-20,3916213.6799999997
2011-08-21,739799.34
2011-08-22,1333684.5
2011-08-23,2506289.4399999995
2011-08-24,6349119.83
2011-08-25,5392900.529999999
2011-08-26,2356901.89
2011-08-27,2356901.89
2011-08-28,821880.12
2011-08-29,821880.12
2011-08-30,538579.58
2011-08-31,2043142.42
2011-09-01,7560117.46
2011-09-02,2397287.96
2011-09-03,2397287.96
2011-09-04,2285021.0
2011-09-05,1784127.56
2011-09-06,1222696.76
2011-09-07,1437399.99
2011-09-08,5514079.56
2011-09-09,5065931.22
2011-09-10,5065931.22
2011-09-11,5262253.03
2011-09-12,2206664.03
2011-09-13,4440454.21
2011-09-14,4179914.26
2011-09-15,4161554.9
2011-09-16,3124235.07
2011-09-17,3124235.07
2011-09-18,693260.68
2011-09-19,6216922.28
2011-09-20,1623840.5999999999
2011-09-21,3598425.28
2011-09-22,6952066.75
2011-09-23,2904831.67
2011-09-24,2904831.67
2011-09-25,2622855.56
2011-09-26,3166142.2
2011-09-27,3634834.8
2011-09-28,5382454.859999999
2011-09-29,4873832.15
2011-09-30,2530009.1
2011-10-01,2530009.1
2011-10-02,420196.93
2011-10-03,2360547.49
2011-10-04,2394753.7
2011-10-05,6314813.16
2011-10-06,7584921.13
2011-10-07,4437107.1
2011-10-08,4437107.1
2011-10-09,611498.4500000001
2011-10-10,9270487.41
2011-10-11,5377389.21
2011-10-12,3479841.0
2011-10-13,3392159.35
2011-10-14,3440523.12
2011-10-15,3440523.12
2011-10-16,312787.0
2011-10-17,4338435.84
2011-10-18,4386603.18
2011-10-19,3656304.21
2011-10-20,1775851.71
2011-10-21,1577499.57
2011-10-22,1577499.57
2011-10-23,494472.19
2011-10-24,2520951.59
2011-10-25,8933130.02
2011-10-26,3630928.46
2011-10-27,7975300.95
2011-10-28,7990995.87
2011-10-29,7990995.87
2011-10-30,3215589.06
2011-10-31,2700790.67
2011-11-01,1845814.66
2011-11-02,4443577.64
2011-11-03,3199512.44
2011-11-04,6341299.57
2011-11-05,6341299.57
2011-11-06,5189212.18
2011-11-07,1983176.46
2011-11-08,2500846.49
2011-11-09,12797500.469999999
2011-11-10,4526626.899999999
2011-11-11,5089928.63
2011-11-12,5089928.63
2011-11-13,2939279.2
2011-11-14,5209242.38
2011-11-15,6639671.4399999995
2011-11-16,6061213.63
2011-11-17,8251148.5
2011-11-18,4831907.859999999
2011-11-19,4831907.859999999
2011-11-20,2253484.43
2011-11-21,3409110.67
2011-11-22,4112694.27
2011-11-23,6070781.91
2011-11-24,3863916.42
2011-11-25,7305118.17
2011-11-26,7305118.17
2011-11-27,357348.94
2011-11-28,4978520.51
2011-11-29,5450053.47
2011-11-30,6121439.05
2011-12-01,3916683.44
2011-12-02,3414815.98
2011-12-03,3414815.98
2011-12-04,2786957.3
2011-12-05,5073254.09
2011-12-06,6162110.04
2011-12-07,3923647.94
2011-12-08,3290309.13
2011-12-09,2996934.69
